Entreprise,EntityNumber,ActivityGroup,NaceVersion,NaceCode,Classification,ActivityGroup_libelle,NaceVersion_libelle,NaceCode_libelle
Google Belgium,0878.065.378,006,2025,73110,MAIN,Activités ONSS,2025,Activités des agences de publicité
Google Belgium,0878.065.378,006,2003,74401,MAIN,Activités ONSS,2003,Agences de publicité
Google Belgium,0878.065.378,001,2003,72600,MAIN,Activités TVA,2003,Autres activités rattachées à l'informatique
Google Belgium,0878.065.378,001,2025,62900,MAIN,Activités TVA,2025,Autres activités de service informatique
Google Belgium,0878.065.378,006,2008,73110,MAIN,Activités ONSS,2008,Activités des agences de publicité
Google Belgium,0878.065.378,001,2008,62090,MAIN,Activités TVA,2008,Autres activités informatiques
Apple Belgium,0836.157.420,006,2025,47400,MAIN,Activités ONSS,2025,Commerce de détail d’équipements de l’information et de la communication
Apple Belgium,0836.157.420,001,2025,47400,MAIN,Activités TVA,2025,Commerce de détail d’équipements de l’information et de la communication
Apple Belgium,0836.157.420,006,2008,47410,MAIN,Activités ONSS,2008,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé"
Apple Belgium,0836.157.420,001,2008,47410,MAIN,Activités TVA,2008,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé"
SNCB,0203.430.576,001,2025,80010,SECO,Activités TVA,2025,Activités d’investigation et de sécurité privée
SNCB,0203.430.576,001,2025,49110,MAIN,Activités TVA,2025,Transport ferroviaire lourd de voyageurs
SNCB,0203.430.576,001,2003,74601,SECO,Activités TVA,2003,Entreprise de gardiennage et service de sécurité
SNCB,0203.430.576,001,2008,80100,SECO,Activités TVA,2008,Activités de sécurité privée
SNCB,0203.430.576,001,2008,49100,MAIN,Activités TVA,2008,Transport ferroviaire de voyageurs autre qu'urbain et suburbain
